,District,Place,Male,Female,Total,Within_the_area,Outside_the_area,Outside_the_state,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
Total,1,0,0,1,0,1,0,3,1,,,,,,,,,,,,
21,Bronchitis & Asthama,,,,,,,,2,6,,,,,,,,,,,
Male,0,0,1,1,2,4,7,186,,4,,,,,,,,,,,
Female,0,0,0,0,0,1,2,43,1,10,,,,,,,,,,,
Total,0,0,1,1,2,5,9,229,0,,,,,,,,,,,,
22,Jaundice,,,,,,,,1,4,,,,,,,,,,,
,,,195,,,,,,,2,,,,,,,,,,,
,"TABLE D-21 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,AND HABITS( ALL AREAS),,,,,0,6,,,,,,,,,,,
,,Age of the Deceased,,,,,,,0,,,,,,,,,,,,
Sl.,Selected,,,,,,,,0,13,,,,,,,,,,,
Cause of,Sex,70 &,Age Not,Total,,,,,,4,,,,,,,,,,,
No,Below 1515-24,25-34,35-44,45-54,55-64,65-69,,,,17,,,,,,,,,,,
Death,Above,Stated,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
Male,0,0,0,3,6,8,20,12,,,,,,,,,,,,,
Female,0,0,0,0,0,3,1,5,,,,,,,,,,,,,
Total,0,0,0,3,6,11,21,17,,,,,,,,,,,,,
23,Chronic Lever Disease & Cirrhisi,,,,,,,,10,,,,,,,,,,,,
Male,0,0,0,0,6,13,8,22,,,,,,,,,,,,,
Female,0,0,0,0,1,0,0,1,24,11,12,13,,,,,,,,,
Total,0,0,0,0,7,13,8,23,3,,,,,,,,,,,,
24,Ulcer of Stomach & Duodenum,,,,,,,,27,132,,,,,,,,,,,
Male,0,0,0,0,1,4,6,5,,20,,,,,,,,,,,
Female,0,0,0,0,0,0,0,8,1,152,,,,,,,,,,,
Total,0,0,0,0,1,4,6,13,0,,,,,,,,,,,,
25,Appendicities,,,,,,,,1,4,,,,,,,,,,,
Male,0,0,0,0,0,1,0,1,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,
Total,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,
26,Syphilis & Other diseases of Genite Urinary System,,,,,,,,0,2,,,,,,,,,,,
Male,0,1,0,3,0,2,3,12,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,2,0,2,,,,,,,,,,,
Total,0,1,0,3,0,2,3,14,0,,,,,,,,,,,,
27,Abortions,,,,,,,,0,1,,,,,,,,,,,
Male,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,1,18,1,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,
28,Complications Related to Pregnancychild Birth,,,,,,,,19,114,,,,,,,,,,,
Male,0,0,0,0,0,0,0,0,,21,,,,,,,,,,,
Female,0,0,0,0,0,0,0,1,2,135,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,
30,Ceribrovascular (Paralysis),,,,,,,,3,35,,,,,,,,,,,
Male,0,0,0,0,0,5,7,56,,8,,,,,,,,,,,
Female,0,0,1,0,0,0,0,11,0,43,,,,,,,,,,,
Total,0,0,1,0,0,5,7,67,0,,,,,,,,,,,,
31,Senility,,,,,,,,0,8,,,,,,,,,,,
Male,0,0,0,0,0,0,0,319,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,115,0,8,,,,,,,,,,,
Total,0,0,0,0,0,0,0,434,0,,,,,,,,,,,,
32,Others not elsewhere classified,,,,,,,,0,4,,,,,,,,,,,
Male,1,4,13,38,35,88,55,465,,2,,,,,,,,,,,
Female,1,0,2,1,6,18,15,106,0,6,,,,,,,,,,,
Total,2,4,15,39,41,106,70,571,0,,,,,,,,,,,,
33,Bites or Stings of Venomous animal,,,,,,,,0,421,,,,,,,,,,,
Male,0,0,0,0,0,0,0,3,,67,,,,,,,,,,,
Female,0,0,0,1,1,0,0,1,1,488,,,,,,,,,,,
Total,0,0,0,1,1,0,0,4,0,,,,,,,,,,,,
34,Accidental Burn,,,,,,,,1,11,,,,,,,,,,,
Male,0,0,0,1,4,2,1,1,,1,,,,,,,,,,,
Female,0,0,0,1,0,4,0,1,2,12,,,,,,,,,,,
Total,0,0,0,2,4,6,1,2,1,,,,,,,,,,,,
35,Falls & Drowning,,,,,,,,3,8,,,,,,,,,,,
Male,0,0,0,3,2,2,1,4,,1,,,,,,,,,,,
,,,196,,,,,,44,9,,,,,,,,,,,
,"TABLE D-21 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,AND HABITS( ALL AREAS),,,,,14,,,,,,,,,,,,
,,Age of the Deceased,,,,,,,58,245,,,,,,,,,,,
Sl.,Selected,,,,,,,,,60,,,,,,,,,,,
Cause of,Sex,70 &,Age Not,Total,,,,,,305,,,,,,,,,,,
No,Below 1515-24,25-34,35-44,45-54,55-64,65-69,,,,,,,,,,,,,,,
Death,Above,Stated,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
Total,0,0,0,3,2,2,1,6,,,,,,,,,,,,,
36,Accidental Posising,,,,,,,,,,,,,,,,,,,,
Male,0,1,3,7,0,1,1,5,10,,,,,,,,,,,,
Female,0,0,0,1,0,2,1,0,12,,,,,,,,,,,,
Total,0,1,3,8,0,3,2,5,3,11,12,13,,,,,,,,,
37,Transport Accidents,,,,,,,,15,61,,,,,,,,,,,
Male,0,0,8,6,1,3,5,10,,12,,,,,,,,,,,
Female,0,0,0,0,0,0,0,1,2,73,,,,,,,,,,,
Total,0,0,8,6,1,3,5,11,0,,,,,,,,,,,,
38,Other Accidents,,,,,,,,2,51,,,,,,,,,,,
Male,0,0,0,3,1,3,3,8,,2,,,,,,,,,,,
Female,0,0,1,1,0,0,0,2,3,53,,,,,,,,,,,
Total,0,0,1,4,1,3,3,10,2,,,,,,,,,,,,
39,Sucide,,,,,,,,5,19,,,,,,,,,,,
Male,0,1,6,2,5,8,8,16,,10,,,,,,,,,,,
Female,0,1,0,0,0,0,0,1,4,29,,,,,,,,,,,
Total,0,2,6,2,5,8,8,17,0,,,,,,,,,,,,
40,Homicide,,,,,,,,4,6,,,,,,,,,,,
Male,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,1,6,,,,,,,,,,,
Total,0,0,1,1,1,1,0,0,1,,,,,,,,,,,,
99,Not-Stated,,,,,,,,2,22,,,,,,,,,,,
Male,0,4,4,15,12,38,30,37,,3,,,,,,,,,,,
Female,0,2,2,2,15,5,3,7,0,25,,,,,,,,,,,
Total,0,6,6,17,27,43,33,44,0,,,,,,,,,,,,
TOT,AL,,,,,,,,0,0,,,,,,,,,,,
Male,3,14,42,110,109,286,229,1627,,1,,,,,,,,,,,
Female,1,5,11,21,29,36,29,394,0,1,,,,,,,,,,,
Total,4,19,53,131,138,322,258,2021,0,,,,,,,,,,,,
Smo,king and chewing Tobacco,,,,,,,,0,0,,,,,,,,,,,
2,Typhoid & Paratyphoid,,,,,,,,,1,,,,,,,,,,,
Male,0,0,0,0,0,0,0,3,10,1,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,3,13,78,,,,,,,,,,,
3,Food Poisoning,,,,,,,,,15,,,,,,,,,,,
Male,0,0,0,0,0,0,0,2,0,93,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,2,0,319,,,,,,,,,,,
4,"Dysentery, Diarrhoea & Gastro-enteritis",,,,,,,,,115,,,,,,,,,,,
Male,0,0,0,0,1,0,1,5,124,434,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,36,,,,,,,,,,,,
Total,0,0,0,0,1,0,1,5,160,823,,,,,,,,,,,
5,Tuberculosis,,,,,,,,,185,,,,,,,,,,,
Male,0,0,2,3,5,5,0,29,3,1008,,,,,,,,,,,
Female,0,0,0,0,0,0,0,10,0,,,,,,,,,,,,
Total,0,0,2,3,5,5,0,39,3,6,,,,,,,,,,,
,,,197,,,,,,,3,,,,,,,,,,,
,"TABLE D-21 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,AND HABITS( ALL AREAS),,,,,1,9,,,,,,,,,,,
,,Age of the Deceased,,,,,,,0,,,,,,,,,,,,
Sl.,Selected,,,,,,,,1,10,,,,,,,,,,,
Cause of,Sex,70 &,Age Not,Total,,,,,,6,,,,,,,,,,,
No,Below 1515-24,25-34,35-44,45-54,55-64,65-69,,,1,16,,,,,,,,,,,
Death,Above,Stated,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,13,,,,,,,,,,,
6,Leprosy,,,,,,,,,,,,,,,,,,,,
Male,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
12,Rabies,,,,,,,,,,,,,,,,,,,,
Male,0,0,0,0,0,0,0,1,10,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,1,11,12,13,,,,,,,,,
13,Malaria,,,,,,,,,2,,,,,,,,,,,
Male,0,0,0,0,0,0,0,2,6,15,,,,,,,,,,,
Female,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,4,6,24,,,,,,,,,,,
14,Cancer,,,,,,,,,4,,,,,,,,,,,
Male,0,0,0,1,1,4,3,61,6,28,,,,,,,,,,,
Female,0,0,0,0,0,0,2,6,0,,,,,,,,,,,,
Total,0,0,0,1,1,4,5,67,6,39,,,,,,,,,,,
15,Diabetes Melitus,,,,,,,,,1,,,,,,,,,,,
Male,0,0,0,0,0,0,1,6,5,40,,,,,,,,,,,
Female,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,
Total,0,0,0,0,0,0,1,8,6,23,,,,,,,,,,,
16,Anaemia,,,,,,,,,5,,,,,,,,,,,
Male,0,0,0,1,0,0,1,0,8,28,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
Total,0,0,0,1,0,0,1,0,9,54,,,,,,,,,,,
17,Meningitis,,,,,,,,,3,,,,,,,,,,,
Male,0,0,0,0,0,0,0,2,0,57,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,2,0,4,,,,,,,,,,,
18,Heart Diseases & Heart Attacks,,,,,,,,,0,,,,,,,,,,,
Male,0,0,2,3,5,12,15,150,151,4,,,,,,,,,,,
Female,0,0,0,0,0,1,0,22,43,,,,,,,,,,,,
Total,0,0,2,3,5,13,15,172,194,291,,,,,,,,,,,
19,Pneumonia,,,,,,,,,79,,,,,,,,,,,
Male,0,0,0,0,0,0,0,2,431,370,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,111,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,2,542,2851,,,,,,,,,,,
20,Influenza,,,,,,,,,637,,,,,,,,,,,
Male,0,0,0,1,0,0,0,21,,3488,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,1,0,0,0,21,0,,,,,,,,,,,,
21,Bronchitis & Asthama,,,,,,,,0,3,,,,,,,,,,,
Male,0,0,0,5,0,3,7,176,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,11,0,3,,,,,,,,,,,
Total,0,0,0,5,0,3,7,187,0,,,,,,,,,,,,
22,Jaundice,,,,,,,,0,2,,,,,,,,,,,
Male,0,0,0,1,0,0,0,6,,0,,,,,,,,,,,
Female,0,0,0,0,1,0,0,1,2,2,,,,,,,,,,,
Total,0,0,0,1,1,0,0,7,0,,,,,,,,,,,,
23,Chronic Lever Disease & Cirrhisi,,,,,,,,2,9,,,,,,,,,,,
,,,198,,,,,,,0,,,,,,,,,,,
,"TABLE D-21 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,AND HABITS( ALL AREAS),,,,,21,9,,,,,,,,,,,
,,Age of the Deceased,,,,,,,2,,,,,,,,,,,,
Sl.,Selected,,,,,,,,23,65,,,,,,,,,,,
Cause of,Sex,70 &,Age Not,Total,,,,,,12,,,,,,,,,,,
No,Below 1515-24,25-34,35-44,45-54,55-64,65-69,,,,77,,,,,,,,,,,
Death,Above,Stated,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
Male,0,0,0,0,0,1,1,5,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Total,0,0,0,0,0,1,1,5,,,,,,,,,,,,,
24,Ulcer of Stomach & Duodenum,,,,,,,,10,,,,,,,,,,,,
Male,0,0,0,0,0,0,0,10,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,11,12,13,,,,,,,,,
Total,0,0,0,0,0,0,0,10,1,,,,,,,,,,,,
25,Appendicities,,,,,,,,1,0,,,,,,,,,,,
Male,0,0,0,0,0,1,0,6,,1,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
Total,0,0,0,0,0,1,0,6,0,,,,,,,,,,,,
26,Syphilis & Other diseases of Genite Urinary System,,,,,,,,0,1,,,,,,,,,,,
Male,0,0,0,0,0,0,1,3,,0,,,,,,,,,,,
Female,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,
Total,0,0,0,0,0,1,1,3,1,,,,,,,,,,,,
30,Ceribrovascular (Paralysis),,,,,,,,1,2,,,,,,,,,,,
Male,0,0,0,0,0,0,0,48,,3,,,,,,,,,,,
Female,0,0,0,0,0,0,1,0,11,5,,,,,,,,,,,
Total,0,0,0,0,0,0,1,48,5,,,,,,,,,,,,
31,Senility,,,,,,,,16,81,,,,,,,,,,,
Male,0,0,0,0,0,0,0,290,,13,,,,,,,,,,,
Female,0,0,0,0,0,0,0,63,2,94,,,,,,,,,,,
Total,0,0,0,0,0,0,0,353,4,,,,,,,,,,,,
32,Others not elsewhere classified,,,,,,,,6,9,,,,,,,,,,,
Male,0,0,4,6,7,13,3,200,,6,,,,,,,,,,,
Female,0,0,1,0,0,2,3,43,0,15,,,,,,,,,,,
Total,0,0,5,6,7,15,6,243,1,,,,,,,,,,,,
33,Bites or Stings of Venomous animal,,,,,,,,1,2,,,,,,,,,,,
Male,0,0,0,0,0,0,0,2,,1,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,
Total,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,
35,Falls & Drowning,,,,,,,,2,4,,,,,,,,,,,
Male,0,0,0,0,0,0,0,3,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,
Total,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,
36,Accidental Posising,,,,,,,,0,187,,,,,,,,,,,
Male,0,1,1,0,0,0,2,2,,23,,,,,,,,,,,
Female,0,0,0,0,2,0,0,0,0,210,,,,,,,,,,,
Total,0,1,1,0,2,0,2,2,0,,,,,,,,,,,,
37,Transport Accidents,,,,,,,,0,2,,,,,,,,,,,
Male,0,0,1,1,0,0,1,1,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,
Total,0,0,1,1,0,0,1,1,1,,,,,,,,,,,,
38,Other Accidents,,,,,,,,3,24,,,,,,,,,,,
Male,0,1,0,0,2,0,0,1,,1,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,48,25,,,,,,,,,,,
Total,0,1,0,0,2,0,0,1,10,,,,,,,,,,,,
39,Sucide,,,,,,,,58,239,,,,,,,,,,,
Male,0,0,0,0,0,0,0,2,,21,,,,,,,,,,,
,,,199,,,,,,1,260,,,,,,,,,,,
,"TABLE D-21 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,AND HABITS( ALL AREAS),,,,,0,,,,,,,,,,,,
,,Age of the Deceased,,,,,,,1,8,,,,,,,,,,,
Sl.,Selected,,,,,,,,,2,,,,,,,,,,,
Cause of,Sex,70 &,Age Not,Total,,,,,,10,,,,,,,,,,,
No,Below 1515-24,25-34,35-44,45-54,55-64,65-69,,,,,,,,,,,,,,,
Death,Above,Stated,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
40,Homicide,,,,,,,,,,,,,,,,,,,,
Male,0,0,0,0,0,0,0,1,10,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,0,11,12,13,,,,,,,,,
99,Not-Stated,,,,,,,,0,7,,,,,,,,,,,
Male,0,0,3,7,6,10,11,11,,0,,,,,,,,,,,
Female,0,0,0,2,1,1,1,3,0,7,,,,,,,,,,,
Total,0,0,3,9,7,11,12,14,1,,,,,,,,,,,,
TOT,AL,,,,,,,,1,10,,,,,,,,,,,
Male,0,2,13,29,27,49,47,1051,,1,,,,,,,,,,,
Female,0,0,1,2,4,5,7,163,3,11,,,,,,,,,,,
Total,0,2,14,31,31,54,54,1214,0,,,,,,,,,,,,
Smo,king & chewing Arecanut,,,,,,,,3,10,,,,,,,,,,,
1,Cholera,,,,,,,,,0,,,,,,,,,,,
Male,0,0,0,0,0,0,0,1,1,10,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,
2,Typhoid & Paratyphoid,,,,,,,,,1,,,,,,,,,,,
Male,0,0,0,0,1,1,0,1,4,6,,,,,,,,,,,
Female,0,0,0,0,0,0,0,4,2,,,,,,,,,,,,
Total,0,0,0,0,1,1,0,5,6,52,,,,,,,,,,,
4,"Dysentery, Diarrhoea & Gastro-enteritis",,,,,,,,,3,,,,,,,,,,,
Male,0,0,0,0,1,0,0,4,0,55,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,1,0,0,4,0,290,,,,,,,,,,,
5,Tuberculosis,,,,,,,,,63,,,,,,,,,,,
Male,0,0,0,3,4,9,9,38,52,353,,,,,,,,,,,
Female,0,0,0,0,0,0,1,4,11,,,,,,,,,,,,
Total,0,0,0,3,4,9,10,42,63,285,,,,,,,,,,,
6,Leprosy,,,,,,,,,60,,,,,,,,,,,
Male,0,0,0,0,0,0,0,1,0,345,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,
9,Tetanus,,,,,,,,,0,,,,,,,,,,,
Male,0,0,0,0,0,0,1,0,0,2,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,1,0,0,3,,,,,,,,,,,
13,Malaria,,,,,,,,,0,,,,,,,,,,,
Male,0,0,0,0,0,0,1,0,2,3,,,,,,,,,,,
Female,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,1,0,1,0,2,8,,,,,,,,,,,
14,Cancer,,,,,,,,,2,,,,,,,,,,,
Male,0,0,0,1,2,5,3,57,2,10,,,,,,,,,,,
Female,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,
Total,0,0,0,1,2,5,3,60,2,6,,,,,,,,,,,
,,,200,,,,,,,0,,,,,,,,,,,
,"TABLE D-21 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,AND HABITS( ALL AREAS),,,,,1,6,,,,,,,,,,,
,,Age of the Deceased,,,,,,,0,,,,,,,,,,,,
Sl.,Selected,,,,,,,,1,5,,,,,,,,,,,
Cause of,Sex,70 &,Age Not,Total,,,,,,0,,,,,,,,,,,
No,Below 1515-24,25-34,35-44,45-54,55-64,65-69,,,1,5,,,,,,,,,,,
Death,Above,Stated,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,3,,,,,,,,,,,
15,Diabetes Melitus,,,,,,,,,,,,,,,,,,,,
Male,0,0,0,0,0,0,0,8,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,9,,,,,,,,,,,,,
16,Anaemia,,,,,,,,,,,,,,,,,,,,
Male,0,0,0,0,0,0,0,2,10,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,2,1,11,12,13,,,,,,,,,
17,Meningitis,,,,,,,,,0,,,,,,,,,,,
Male,0,0,0,0,1,0,0,2,1,3,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,0,0,0,0,1,0,0,2,1,2,,,,,,,,,,,
18,Heart Diseases & Heart Attacks,,,,,,,,,0,,,,,,,,,,,
Male,0,0,1,1,6,11,11,158,89,2,,,,,,,,,,,
Female,0,0,0,0,0,0,0,12,25,,,,,,,,,,,,
Total,0,0,1,1,6,11,11,170,114,137,,,,,,,,,,,
19,Pneumonia,,,,,,,,,33,,,,,,,,,,,
Male,0,0,0,0,0,0,0,1,245,170,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,64,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,309,1463,,,,,,,,,,,
20,Influenza,,,,,,,,,246,,,,,,,,,,,
Male,0,0,0,0,0,0,0,22,,1709,,,,,,,,,,,
Female,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,24,0,,,,,,,,,,,,
21,Bronchitis & Asthama,,,,,,,,0,1,,,,,,,,,,,
Male,0,0,0,0,1,6,5,159,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,4,0,1,,,,,,,,,,,
Total,0,0,0,0,1,6,5,163,0,,,,,,,,,,,,
22,Jaundice,,,,,,,,0,3,,,,,,,,,,,
Male,0,0,0,1,0,2,2,3,,4,,,,,,,,,,,
Female,0,0,0,0,0,0,0,1,0,7,,,,,,,,,,,
Total,0,0,0,1,0,2,2,4,0,,,,,,,,,,,,
23,Chronic Lever Disease & Cirrhisi,,,,,,,,0,5,,,,,,,,,,,
Male,0,0,0,0,0,0,1,3,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,1,0,15,5,,,,,,,,,,,
Total,0,0,0,0,0,0,2,3,3,,,,,,,,,,,,
24,Ulcer of Stomach & Duodenum,,,,,,,,18,78,,,,,,,,,,,
Male,0,0,0,0,0,0,0,13,,8,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,86,,,,,,,,,,,
Total,0,0,0,0,0,0,0,13,0,,,,,,,,,,,,
25,Appendicities,,,,,,,,0,1,,,,,,,,,,,
Male,0,0,0,0,0,0,0,1,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,
26,Syphilis & Other diseases of Genite Urinary System,,,,,,,,0,1,,,,,,,,,,,
Male,0,0,0,0,0,0,1,8,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,
Total,0,0,0,0,0,0,1,9,0,,,,,,,,,,,,
30,Ceribrovascular (Paralysis),,,,,,,,1,2,,,,,,,,,,,
,,,201,,,,,,,1,,,,,,,,,,,
,"TABLE D-21 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,AND HABITS( ALL AREAS),,,,,12,3,,,,,,,,,,,
,,Age of the Deceased,,,,,,,0,,,,,,,,,,,,
Sl.,Selected,,,,,,,,12,80,,,,,,,,,,,
Cause of,Sex,70 &,Age Not,Total,,,,,,3,,,,,,,,,,,
No,Below 1515-24,25-34,35-44,45-54,55-64,65-69,,,,83,,,,,,,,,,,
Death,Above,Stated,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
Male,0,0,0,0,1,0,0,42,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
Total,0,0,0,0,1,0,0,44,,,,,,,,,,,,,
31,Senility,,,,,,,,10,,,,,,,,,,,,
Male,0,0,0,0,0,0,0,203,,,,,,,,,,,,,
Female,0,0,0,0,0,0,0,26,2,11,12,13,,,,,,,,,
Total,0,0,0,0,0,0,0,229,0,,,,,,,,,,,,
32,Others not elsewhere classified,,,,,,,,2,10,,,,,,,,,,,
Male,0,2,1,9,6,9,21,195,,1,,,,,,,,,,,
Female,0,0,1,0,0,0,1,22,0,11,,,,,,,,,,,
Total,0,2,2,9,6,9,22,217,0,,,,,,,,,,,,
33,Bites or Stings of Venomous animal,,,,,,,,0,2,,,,,,,,,,,
Male,0,0,0,0,0,3,0,7,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,1,3,2,,,,,,,,,,,
Total,0,0,0,0,0,3,0,8,0,,,,,,,,,,,,
35,Falls & Drowning,,,,,,,,3,6,,,,,,,,,,,
Male,0,0,0,0,0,0,0,1,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,
36,Accidental Posising,,,,,,,,0,188,,,,,,,,,,,
Male,0,0,0,0,0,0,0,1,,12,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,0,200,,,,,,,,,,,
Total,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,
37,Transport Accidents,,,,,,,,0,1,,,,,,,,,,,
Male,0,0,0,2,0,0,1,3,,0,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,
Total,0,0,0,2,0,0,1,3,0,,,,,,,,,,,,
38,Other Accidents,,,,,,,,2,24,,,,,,,,,,,
Male,0,0,0,0,1,0,1,3,,2,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,42,26,,,,,,,,,,,
Total,0,0,0,0,1,0,1,3,5,,,,,,,,,,,,
39,Sucide,,,,,,,,47,213,,,,,,,,,,,
Male,0,0,1,0,3,1,4,4,,9,,,,,,,,,,,
Female,0,0,0,0,0,1,0,0,0,222,,,,,,,,,,,
Total,0,0,1,0,3,2,4,4,0,,,,,,,,,,,,
99,Not-Stated,,,,,,,,0,8,,,,,,,,,,,
Male,0,0,0,0,2,9,14,10,,1,,,,,,,,,,,
Female,0,0,0,0,2,1,1,1,1,9,,,,,,,,,,,
Total,0,0,0,0,4,10,15,11,0,,,,,,,,,,,,
TOT,AL,,,,,,,,1,5,,,,,,,,,,,
Male,0,2,3,17,29,56,75,951,,1,,,,,,,,,,,
Female,0,0,1,0,3,2,4,84,5,6,,,,,,,,,,,
Total,0,2,4,17,32,58,79,1035,0,,,,,,,,,,,,
Smo,king & Drinking Alcohol,,,,,,,,5,18,,,,,,,,,,,
1,Cholera,,,,,,,,,0,,,,,,,,,,,
Male,0,0,0,0,0,1,0,0,0,18,,,,,,,,,,,
Female,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
,,,202,,,,,,1,1,,,,,,,,,,,
,"TABLE D-21 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,AND HABITS( ALL AREAS),,,,,,1,,,,,,,,,,,
,,Age of the Deceased,,,,,,,0,2,,,,,,,,,,,
Sl.,Selected,,,,,,,,0,,,,,,,,,,,,
Cause of,Sex,70 &,Age Not,Total,,,,,0,9,,,,,,,,,,,
No,Below 1515-24,25-34,35-44,45-54,55-64,65-69,,,,1,,,,,,,,,,,
